User:1522130354 Word,User:1522130354 TFIDF,User:1522130355 Word,User:1522130355 TFIDF,User:1521757806 Word,User:1521757806 TFIDF
#,0.5493061443340549,#,0.5493061443340549,#,0.5915604631289821
#2,0.5493061443340549,#2,0.5493061443340549,#2,0.5915604631289821
#test2@broken-cookies,0.5493061443340549,#test2@broken-cookies,0.5493061443340549,#test2@broken-cookies,0.5915604631289821
#test3@broken-cookies,0.5493061443340549,#test3@broken-cookies,0.5493061443340549,#test3@broken-cookies,0.5915604631289821
#test4@broken-cookies,0.5493061443340549,#test4@broken-cookies,0.5493061443340549,#test4@broken-cookies,0.5915604631289821
#test5@broken-cookies,0.5493061443340549,#test5@broken-cookies,0.5493061443340549,#test5@broken-cookies,0.5915604631289821
$,0.5493061443340549,$,0.5493061443340549,$,0.5915604631289821
$2,0.5493061443340549,$2,0.5493061443340549,$2,0.5915604631289821
$3,0.5493061443340549,$3,0.5493061443340549,$3,0.5915604631289821
04,0.5493061443340549,04,0.5493061443340549,04,0.5915604631289821
07,0.5493061443340549,07,0.5493061443340549,07,0.5915604631289821
08,0.5493061443340549,08,0.5493061443340549,08,0.5915604631289821
1,0.5493061443340549,1,0.5493061443340549,1,0.5915604631289821
12,0.5493061443340549,12,0.5493061443340549,12,0.5915604631289821
14th,0.5493061443340549,14th,0.5493061443340549,14th,0.5915604631289821
1521758196,0.5493061443340549,1521758196,0.5493061443340549,1521758196,0.5915604631289821
1521758242,0.5493061443340549,1521758242,0.5493061443340549,1521758242,0.5915604631289821
1521758326,0.5493061443340549,1521758326,0.5493061443340549,1521758326,0.5915604631289821
1521758335,0.5493061443340549,1521758335,0.5493061443340549,1521758335,0.5915604631289821
1521758342,0.5493061443340549,1521758342,0.5493061443340549,1521758342,0.5915604631289821
17,0.5493061443340549,17,0.5493061443340549,17,0.5915604631289821
2,0.5493061443340549,2,0.5493061443340549,2,0.5915604631289821
2014,0.5493061443340549,2014,0.5493061443340549,2014,0.5915604631289821
2pm,0.5493061443340549,2pm,0.5493061443340549,2pm,0.5915604631289821
3,0.5493061443340549,3,0.5493061443340549,3,0.5915604631289821
3839535,0.0,3839535,0.0,3839535,0.0
3839708,0.5493061443340549,3839708,0.5493061443340549,3839708,0.5915604631289821
3848205,0.5493061443340549,3848205,0.5493061443340549,3848205,0.5915604631289821
3850511,0.5493061443340549,3850511,0.5493061443340549,3850511,0.5915604631289821
4568505,0.5493061443340549,4568505,0.5493061443340549,4568505,0.5915604631289821
5th,0.5493061443340549,5th,0.5493061443340549,5th,0.5915604631289821
6,0.5493061443340549,6,0.5493061443340549,6,0.5915604631289821
6gb,0.5493061443340549,6gb,0.5493061443340549,6gb,0.5915604631289821
6jemc7oecscfdmaksyd6w,0.5493061443340549,6jemc7oecscfdmaksyd6w,0.5493061443340549,6jemc7oecscfdmaksyd6w,0.5915604631289821
==>,0.5493061443340549,==>,0.5493061443340549,==>,0.5915604631289821
>=,0.5493061443340549,>=,0.5493061443340549,>=,0.5915604631289821
@@,0.5493061443340549,@@,0.5493061443340549,@@,0.5915604631289821
ac,0.5493061443340549,ac,0.5493061443340549,ac,0.5915604631289821
accounts,0.5493061443340549,accounts,0.5493061443340549,accounts,0.5915604631289821
activation,0.5493061443340549,activation,0.5493061443340549,activation,0.5915604631289821
actually,0.5493061443340549,actually,0.5493061443340549,actually,0.5915604631289821
additional,0.5493061443340549,additional,0.5493061443340549,additional,0.5915604631289821
addresses,0.5493061443340549,addresses,0.5493061443340549,addresses,0.5915604631289821
admin,0.5493061443340549,admin,0.5493061443340549,admin,0.5915604631289821
all,0.5493061443340549,all,0.5493061443340549,all,0.5915604631289821
already,0.5493061443340549,already,0.5493061443340549,already,0.5915604631289821
also,0.5493061443340549,also,0.5493061443340549,also,0.5915604631289821
analysis,0.8239592165010823,analysis,0.5493061443340549,analysis,0.5493061443340549
analytics,0.5493061443340549,analytics,0.5493061443340549,analytics,0.5915604631289821
annoying,0.5493061443340549,annoying,0.5493061443340549,annoying,0.5915604631289821
answer,0.5493061443340549,answer,0.5493061443340549,answer,0.5915604631289821
anymore,0.5493061443340549,anymore,0.5493061443340549,anymore,0.5915604631289821
anyone,0.5493061443340549,anyone,0.5493061443340549,anyone,0.5915604631289821
anything,0.5493061443340549,anything,0.5493061443340549,anything,0.5915604631289821
api,0.5493061443340549,api,0.5493061443340549,api,0.5915604631289821
app,0.5493061443340549,app,0.5493061443340549,app,0.5915604631289821
application,0.5493061443340549,application,0.5493061443340549,application,0.5915604631289821
archive,0.5493061443340549,archive,0.5493061443340549,archive,0.5915604631289821
array,0.5493061443340549,array,0.5493061443340549,array,0.5915604631289821
asking,0.5493061443340549,asking,0.5493061443340549,asking,0.5915604631289821
aspx,0.5493061443340549,aspx,0.5493061443340549,aspx,0.5915604631289821
attached,0.5493061443340549,attached,0.5493061443340549,attached,0.5915604631289821
auth,0.5493061443340549,auth,0.5493061443340549,auth,0.5915604631289821
azure,0.3040988310811233,azure,0.2027325540540822,azure,0.2183273659043962
azurehdinsight,0.5493061443340549,azurehdinsight,0.5493061443340549,azurehdinsight,0.5915604631289821
better,0.5493061443340549,better,0.5493061443340549,better,0.5915604631289821
bigdatagroup,0.5493061443340549,bigdatagroup,0.5493061443340549,bigdatagroup,0.5915604631289821
billion,0.5493061443340549,billion,0.5493061443340549,billion,0.5915604631289821
bit,0.5493061443340549,bit,0.5493061443340549,bit,0.5915604631289821
blogs,0.5493061443340549,blogs,0.5493061443340549,blogs,0.5915604631289821
book,0.5493061443340549,book,0.5493061443340549,book,0.5915604631289821
breaks,0.5493061443340549,breaks,0.5493061443340549,breaks,0.5915604631289821
broken-cookies,0.0,broken-cookies,0.0,broken-cookies,0.0
bulk,0.5493061443340549,bulk,0.5493061443340549,bulk,0.5915604631289821
ccould,0.5493061443340549,ccould,0.5493061443340549,ccould,0.5915604631289821
